CODIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECION,CP,POBLACION,PROVINCIA,PAIS,CERCANIAS,FEVE,COMUN
5267,CADAVEDO,43.542952,-6.391612,"Ctra. As - 268 --- Estación Ferrocarril, S/N",33788,VALDÉS,ASTURIAS,ESPAÑA,NO,SI,
5269,SAN CRISTÓBAL,43.547225,-6.415264,"Ctra. San Cristobal - Quintana - Estación Ferrocarril, S/N",33789,VALDÉS,ASTURIAS,ESPAÑA,NO,SI,
5271,CANERO,43.541913,-6.445878,"Ctra. N - 632a --- Estación Ferrocarril, S/N",33787,VALDÉS,ASTURIAS,ESPAÑA,NO,SI,
5273,BARCIA,43.546813,-6.50828,C/ Estación Ferrocarril S/N,33787,VALDÉS,ASTURIAS,ESPAÑA,NO,SI,
5275,LUARCA,43.537949,-6.536617,"Avda. de la Estación, S/N",33700,VALDÉS,ASTURIAS,ESPAÑA,NO,SI,
5277,OTUR,43.540541,-6.593562,"Ctra. N-634, Km. 511 - Estación Ferrocarril, S/N",33792,VALDÉS,ASTURIAS,ESPAÑA,NO,SI,
5279,VILLAPEDRE,43.546723,-6.64587,"Ctra. Nv-2 - Estación Ferrocarril, S/N",33793,NAVIA,ASTURIAS,ESPAÑA,NO,SI,
5281,PIÑERA-VILLAORIL,43.535685,-6.685414,"Ctra. Nv-5 - Estación Ferrocarril, S/N",33719,NAVIA,ASTURIAS,ESPAÑA,NO,SI,
5283,NAVIA,43.536802,-6.719425,C/ Manuel Suarez S/N -Navia,33710,NAVIA,ASTURIAS,ESPAÑA,NO,SI,
5285,MEDAL,43.545692,-6.752994,"Ctra. Cñ-6 - Estación Ferrocarril, S/N",33719,COAÑA,ASTURIAS,ESPAÑA,NO,SI,
5287,LOZA,43.551254,-6.771675,"Ctra. Cñ - 6 --- Estación Ferrocarril, S/N",33719,COAÑA,ASTURIAS,ESPAÑA,NO,SI,
5289,CARTAVIO,43.550714,-6.789622,"Ctra. Cñ - 6 --- Estación Ferrocarril, S/N",33719,COAÑA,ASTURIAS,ESPAÑA,NO,SI,
5291,LA CARIDAD,43.547074,-6.827541,"Ctra. N - 634 --- Estación Ferrocarril, S/N",33746,FRANCO (EL),ASTURIAS,ESPAÑA,NO,SI,
5293,TAPIA,43.535026,-6.909329,"Ctra. As-31 - Estación Ferocarril, S/N",33747,TAPIA DE CASARIEGO,ASTURIAS,ESPAÑA,NO,SI,
5295,TOL,43.527204,-6.952128,"Ctra. As-32 - Estación Ferocarril, S/N",33794,CASTROPOL,ASTURIAS,ESPAÑA,NO,SI,
5297,LAS CAMPAS DE CASTROPOL,43.5202979,-6.9771022,"Ctra. de la Estación, S/N",33768,CASTROPOL,ASTURIAS,ESPAÑA,NO,SI,
5299,CASTROPOL,43.5095861,-7.0147697,"Ctra. N - 640 --- Estación Ferrocarril, S/N",33769,CASTROPOL,ASTURIAS,ESPAÑA,NO,SI,
5300,VALLOBÍN,43.3652306,-5.8647984,"Pza. Angel Gonzalez, S/N",33012,OVIEDO,ASTURIAS,ESPAÑA,SI,SI,
5301,ARGAÑOSA-LAVAPIÉS,43.3658311,-5.870018,"C/ Favila, S/N",33013,OVIEDO,ASTURIAS,ESPAÑA,SI,SI,
5302,LAS CAMPAS,43.3638889,-5.8833728,"C/ Proaza, S/N",33012,OVIEDO,ASTURIAS,ESPAÑA,SI,SI,
5303,LAS MAZAS,43.3587192,-5.8975568,"Ctra. A - 232 --- Estación Ferrocarril, S/N",0,OVIEDO,ASTURIAS,ESPAÑA,SI,SI,
5304,SAN CLAUDIO,43.3553535,-5.9178091,C/ la Estación S/N san Claudio (Oviedo),33191,OVIEDO,ASTURIAS,ESPAÑA,SI,SI,
5305,FUSO DE LA REINA,,,,,OVIEDO,ASTURIAS,ESPAÑA,NO,SI,
5306,SAN PEDRO DE NORA,43.3687481,-5.9585951,"Ctra. A-233 - Estación Ferrocarril, S/N",33119,OVIEDO,ASTURIAS,ESPAÑA,SI,SI,
5308,SOTO UDRIÓN,43.3564364,-5.9650157,"Ctra. N-634 - Estación Ferrocarril, S/N",33119,OVIEDO,ASTURIAS,ESPAÑA,SI,SI,
5309,CACES,,,,,OVIEDO,ASTURIAS,ESPAÑA,NO,SI,
5311,TRUBIA,43.34857,-5.9677756,C/ Suarez Inclan S/N-Trubia (Oviedo),33119,OVIEDO,ASTURIAS,ESPAÑA,SI,SI,
5313,SANTA MARÍA DE GRADO,43.3842274,-5.9827075,"Estación Ferrocarril S/N, Santa María de Grado (Asturias)",33892,GRADO,ASTURIAS,ESPAÑA,SI,SI,
5315,VEGA DE ANZO,43.38933,-6.0056834,Ctra. de Vega de Amzo A Valduno,33190,GRADO,ASTURIAS,ESPAÑA,SI,SI,
